case_id,part_type,brand,name,item_number,price,size,color,link,image
1,case,Corsair,Corsair Crystal iCUE 465X RBG Tempered Glass ATX Mid Tower,N82E16811139149,$154.99 ,ATX,Black,https://www.newegg.com/black-corsair-crystal-icue-465x-rgb-atx-mid-tower/p/N82E16811139149?quicklink=true,https://c1.neweggimages.com/ProductImage/11-139-149-01.jpg
2,case,Corsair,Corsair 400D Airflow Black Tempered Glass ATX Mid Tower,N82E16811139156,$94.99 ,ATX,Black,https://www.newegg.com/black-corsair-4000d-airflow-atx-mid-tower/p/N82E16811139156,https://c1.neweggimages.com/ProductImage/11-139-156-V01.jpg
3,case,Fractal Design,Fractal Design Meshify C White Tempered Glass ATX Mid Tower,N82E16811352087,$89.99 ,ATX,White,https://www.newegg.com/fractal-design-meshify-c-white-tg-atx-mid-tower/p/N82E16811352087,https://c1.neweggimages.com/ProductImage/11-352-087-V01.jpg
4,case,Fractal Design,Fractal Design Define 7 Compact Brushed Aluminum Tempered Glass Window Mid Tower,N82E16811352128,$109.99 ,ATX,Black,https://www.newegg.com/black-fractal-design-define-7-compact-atx-mid-tower/p/N82E16811352128,https://c1.neweggimages.com/ProductImage/11-352-128-V21.jpg
5,case,NZXT,NZXT H510 - Compact ATX Mid Tower Tempered Glass Case,N82E16811146315,$71.99 ,ATX,Black,https://www.newegg.com/matte-black-nzxt-h-series-h510-atx-mid-tower/p/N82E16811146315?quicklink=true,https://c1.neweggimages.com/ProductImage/11-146-315-V01.jpg
6,case,NZXT,NZXT H710i - ATX Mid Tower Tempered Glass - RBG Lighting Case,9SIB263FK30580,$166.99 ,ATX,White,https://www.newegg.com/matte-white-black-nzxt-h-series-h710i-atx-mid-tower/p/N82E16811146328,https://c1.neweggimages.com/ProductImage/11-146-328-02.jpg
7,case,Lian Li,LIAN LI Dynamic Razer Edition Black Tempered Glass Gaming Case,N82E16811112590,$208.99 ,ATX,Black,https://www.newegg.com/black-lian-li-pc-o11dynamic-razer-edition-atx-mid-tower/p/N82E16811112590?quicklink=true,https://c1.neweggimages.com/ProductImage/AFST_131960101253381377jr0pnFqVR6.jpg
8,case,Cooler Master,Cooler Master MasterCase H500P Mesh ARGB Airflow ATX Mid-Tower,N82E16811119353,$199.99 ,ATX,Black,https://www.newegg.com/gun-metal-cooler-master-mastercase-h500p-mesh-atx-mid-tower/p/N82E16811119353?quicklink=true,https://c1.neweggimages.com/ProductImage/11-119-353-V01.jpg
9,case,Cooler Master,Cooler Master MasterBox TD500 Mesh White Airflow ATX Mid Tower,N82E16811119394,$129.99 ,ATX,White,https://www.newegg.com/white-gray-cooler-master-masterbox-td500-mesh-white-atx-mid-tower/p/N82E16811119394?quicklink=true,https://c1.neweggimages.com/ProductImage/11-119-394-V01.jpg
10,case,,,,,,,,