gpu_id,part_type,series,brand,name,item_number,price,cuda_cores,boost_clock,vram,link,image
1,gpu,3060,GIGABYTE,GIGABYTE AORUS GeForce RTX 3060,9SIB11NFJM1318,$874.99 ,3584,1867 MHz,12 GB GDDR6,https://www.newegg.com/gigabyte-geforce-rtx-3060-gv-n3060aorus-e-12gd/p/N82E16814932431?quicklink=true,https://c1.neweggimages.com/ProductImage/14-932-431-V12.jpg
2,gpu,3060,ASUS,ASUS ROG Strix GeForce RTX 3060,9SIAPMXFG23278,$943.89 ,3584,1882 MHz,12 GB GDDR6,https://www.newegg.com/asus-geforce-rtx-3060-rog-strix-rtx3060-o12g-v2-gaming/p/N82E16814126522,https://c1.neweggimages.com/ProductImage/14-126-522-V18.jpg
3,gpu,3060,EVGA,EVGA GeForce RTX 3060 XC Gaming,9SIABT1FGY3444,$889.99 ,3584,1882 MHz,12 GB GDDR6,https://www.newegg.com/evga-geforce-rtx-3060-12g-p5-3657-kr/p/N82E16814487539,https://c1.neweggimages.com/ProductImage/14-487-539-01.jpg
4,gpu,3060,MSI,MSI Non-locking Gaming GeForce RTX 3060,9SIAU1ZFFC1046,$999.99 ,3584,1852 MHz,12 GB GDDR6,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-gaming-x-trio-12g/p/1FT-0009-006H3,https://c1.neweggimages.com/ProductImage/AU1ZS210805LCfSR.jpg
5,gpu,3070,MSI,MSI Ventus GeForce RTX 3070 ,N82E16814137601,$379.99 ,5888,1755 MHz,8 GB GDDR6,https://www.newegg.com/msi-geforce-rtx-3070-rtx-3070-ventus-3x-oc/p/N82E16814137601?quicklink=true,https://c1.neweggimages.com/ProductImage/14-137-601-V12.jpg
6,gpu,3070,EVGA,EVGA GeForce RTX 3070 FTW3 ,N82E16814487544,$699.99 ,5888,1815 MHz,8 GB GDDR6,https://www.newegg.com/evga-geforce-rtx-3070-08g-p5-3767-kl/p/N82E16814487544,https://c1.neweggimages.com/ProductImage/14-487-544-V04.jpg
7,gpu,3070,ASUS,ASUS ROG Strix GeForce RTX 3070,9SIAYTVFMZ8286,$779.99 ,5888,1905 MHz,8 GB GDDR6,https://www.newegg.com/asus-geforce-rtx-3070-rog-strix-rtx3070-o8g-v2-gaming/p/N82E16814126518,https://c1.neweggimages.com/ProductImage/14-126-518-V19.jpg
8,gpu,3080,ASUS,ASUS ROG Strix GeForce RTX 3080,N82E16814126533,"$1,189.99 ",8704,1935 MHz,10 GB GDDR6X,https://www.newegg.com/asus-geforce-rtx-3080-rtx3080-o10g-wht-v2/p/N82E16814126533?quicklink=true,https://c1.neweggimages.com/ProductImage/14-126-533-V01.jpg
9,gpu,3080,GIGABYTE,GIGABYTE AORUS GeForce RTX 3080,N82E16814932345,"$1,129.99 ",8704,1905 MHz,10 GB GDDR6X,https://www.newegg.com/gigabyte-geforce-rtx-3080-gv-n3080aorus-x-10gd/p/N82E16814932345,https://c1.neweggimages.com/ProductImage/14-932-345-01.jpg
10,gpu,3080,EVGA,EVGA GeForce RTX 3080 FTW3 ,N82E16814487541,$899.99 ,8704,1780 MHz,10 GB GDDR6X,https://www.newegg.com/evga-geforce-rtx-3080-10g-p5-3897-kl/p/N82E16814487541,https://c1.neweggimages.com/ProductImage/14-487-541-V01.jpg
11,gpu,3090,EVGA,EVGA GeForce RTX 3090 XC3 Black Gaming ,N82E16814487527,"$1,639.99 ",10496,1696 MHz,24 GB GDDR6X,https://www.newegg.com/evga-geforce-rtx-3090-24g-p5-3971-kr/p/N82E16814487527,https://c1.neweggimages.com/ProductImage/14-487-527-V07.jpg
12,gpu,3090,ASUS,ASUS TUF Gaming GeForce RTX 3090,N82E16814126455,"$1,874.99 ",10496,1725 MHz,24 GB GDDR6X,https://www.newegg.com/asus-geforce-rtx-3090-tuf-rtx3090-24g-gaming/p/N82E16814126455,https://c1.neweggimages.com/ProductImage/14-126-455-01.jpg
13,gpu,3090,MSI,MSI Ventus GeForce RTX 3090,N82E16814137596,"$2,249.99 ",10496,1725 MHz,24 GB GDDR6X,https://www.newegg.com/msi-geforce-rtx-3090-rtx-3090-ventus-3x-24g-oc/p/N82E16814137596,https://c1.neweggimages.com/ProductImage/14-137-596-V24.jpg
14,gpu,6700XT,ASUS,ASUS TUF Gaming Radeon RX 6700 XT OC Edition,9SIAYBAF258013,"$1,063.79 ",2560,2622 MHz,12 GB GDDR6,https://www.newegg.com/asus-radeon-rx-6700-xt-tuf-rx6700xt-o12g-gaming/p/N82E16814126499?quicklink=true,https://c1.neweggimages.com/ProductImage/14-126-499-16.jpg
15,gpu,6700XT,ASRock,ASRock Radeon RX 6700 XT Phantom Gaming D,N82E16814930054,$999.99 ,2560,2622 MHz,12 GB GDDR6,https://www.newegg.com/asrock-radeon-rx-6700-xt-rx6700xt-pgd-12go/p/N82E16814930054,https://c1.neweggimages.com/ProductImage/14-930-054-V01.jpg
16,gpu,6800XT,MSI,MSI Gaming Radeon RX 6800 XT ,9SIAPMXE2C3611,"$1,599.99 ",4608,2285 MHz,16 GB GDDR6,https://www.newegg.com/msi-radeon-rx-6800-xt-rx-6800-xt-gaming-x-trio-16g/p/N82E16814137621?quicklink=true,https://c1.neweggimages.com/ProductImage/14-137-621-01.jpg
17,gpu,6800XT,ASRock,ASRock Radeon RX 6800 XT Taichi,9SIAPBUEW34858,"$1,714.74 ",4608,2360 MHz,16 GB GDDR6,https://www.newegg.com/asrock-radeon-rx-6800-xt-rx6800xt-tcx-16go/p/N82E16814930050?quicklink=true,https://c1.neweggimages.com/ProductImage/14-930-050-01.jpg
19,gpu,6900XT,GIGABYTE,GIGABYTE AORUS RADEON RX 6900 XT,N82E16814932413,"$2,149.99 ",5120,2365 MHz,16 GB GDDR6,https://www.newegg.com/gigabyte-radeon-rx-6900-xt-gv-r69xtaorus-m-16gd/p/N82E16814932413,https://c1.neweggimages.com/ProductImage/14-932-413-V01.jpg
20,gpu,6900XT,Sapphire,Sapphire NITRO+ AMD RADEON RX 6900 XT SE GAMING OC,9SIAPMXETW9602,"$1,869.99 ",5120,2660 MHZ,16 GB GDDR6,https://www.newegg.com/sapphire-radeon-rx-6900-xt-11308-03-20g/p/N82E16814202403?quicklink=true,https://c1.neweggimages.com/ProductImage/14-202-403-V01.jpg